fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set E,model,completed,,Parents who choose not to vaccinate their children are typically highly educated and scientifically literate.,Parents who choose not to vaccinate their children are typically highly educated and scientifically literate.,pillar,endorsed,Aaron Siri,,,strengthens,weakens,normal,normal,true,high,U0021,Pillar 1,U0021,"[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The CDC manipulated data linking the MMR vaccine to autism.,The CDC manipulated data linking the MMR vaccine to autism.,pillar,endorsed,William Thompson,,,strengthens,weakens,normal,normal,true,high,"U0037,U0041",Pillar 2,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers.,The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers.,pillar,endorsed,Article author,,,strengthens,weakens,normal,normal,true,high,"U0068,U0070",Pillar 3,U0068 | U0070,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,There is a significant rise in chronic health conditions among vaccinated children.,There is a significant rise in chronic health conditions among vaccinated children.,pillar,endorsed,Article author,,,strengthens,weakens,normal,normal,true,high,"U0086,U0090",Pillar 4,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Toxic substances such as aluminum and mercury are present in vaccines.,Toxic substances such as aluminum and mercury are present in vaccines.,pillar,endorsed,Article author,,,strengthens,weakens,normal,normal,true,high,"U0245,U0308",Pillar 5,U0245 | U0308,"[U0245] Folks SHOULD be nervous about aluminum being used in vaccines.
[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The claims made in public health advertisements about vaccines are based on medical dogma with no basis in reality.,The claims made in public health advertisements about vaccines are based on medical dogma with no basis in reality.,thesis,endorsed,Article author,,,strengthens,weakens,normal,normal,true,high,"U0027,U0028",,U0027 | U0028,"[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.
[U0028] At best the narrative is a wishful fairy tale.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The rise in vaccine hesitancy is a response to perceived misinformation from health authorities.,The rise in vaccine hesitancy is a response to perceived misinformation from health authorities.,thesis,endorsed,Article author,,,strengthens,weakens,normal,normal,true,medium,U0404,,U0404,"[U0404] Efforts to rein in pharma’s capture of health agencies, medical groups and the vaccine narrative are causing a pitched battle, and the institutions entrenched in the religion of vaccines are doubling down to maintain their control.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Parents report severe adverse reactions in their children following vaccinations.,Parents report severe adverse reactions in their children following vaccinations.,pillar_support,endorsed,Article author,,,strengthens,weakens,normal,normal,true,medium,"U0101,U0102",,U0101 | U0102,"[U0101] The common themes in stories parents recounted were eerie.
[U0102] Many described rushing their infants or toddlers to the ER with convulsions, 105° fevers, horrifying screams and seizures after their shots, only to be told this is normal… we see this all the time… it has nothing to do with the vaccines .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The CDC has declared that the science on vaccine safety is settled without further research.,The CDC has declared that the science on vaccine safety is settled without further research.,pillar,endorsed,Article author,,,strengthens,weakens,normal,normal,true,medium,U0046,,U0046,[U0046] The CDC announced: No more research money will be spent on this question; “the science is settled.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,"The vaccine schedule has increased significantly since the 1986 act, correlating with rising health issues in children.","The vaccine schedule has increased significantly since the 1986 act, correlating with rising health issues in children.",pillar,endorsed,Article author,,,strengthens,weakens,normal,normal,true,high,"U0076,U0080",,U0076 | U0080,"[U0076] Each new childhood shot approved was automatically added to the CDC’s Childhood Vaccine Schedule, with the assurance that tens of millions of children would receive them at routine pediatric visits.
[U0080] In the decades following the 1986 act the childhood schedule exploded to 73 doses/54 shots.",,,,,,,,,,,,,,,,,
